file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextCorpus.java,demo.textnorm.TextCorpus,getSentences/0,false,14,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderOutputModelComparer.java,demo.order.OrderOutputModelComparer,"compare/2[java.math.BigDecimal,java.math.BigDecimal]",false,11,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,tokenize/1[java.lang.String],false,39,0,1,1,0,2,2,4,2,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,10,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,analyze/1[demo.textnorm.TextCorpus],false,13,3,6,2,4,5,6,16,1,5,1,6,2,1,2,1,0,0,0,2,5,0,3,0,0,0,15,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextArtifactEntry.java,demo.textnorm.TextArtifactEntry,normalize/1[java.lang.String],false,34,0,1,1,0,1,3,3,1,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,10,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullComparer.java,demo.convexhull.HullComparer,"compare/2[java.lang.Object,java.lang.Object]",false,16,2,1,0,1,2,1,5,1,2,2,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,6,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderArtifactEntry.java,demo.order.OrderArtifactEntry,total/1[demo.order.Order],false,8,1,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicRelation_order_total.java,mtaas.generated.order_total.MetamorphicRelation_order_total,validate/1[demo.order.Order],false,5,4,4,1,3,2,4,5,1,2,1,4,0,0,0,1,0,0,0,1,2,0,0,0,0,0,4,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\PermuteDataGenerator.java,demo.convexhull.generator.PermuteDataGenerator,make/0,false,7,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\scale\MR_Scale_Output.java,demo.convexhull.mr.scale.MR_Scale_Output,transform/1[java.lang.Object],false,11,2,1,0,1,1,1,4,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\Order.java,demo.order.Order,Order/1[java.util.List<java.math.BigDecimal>],true,8,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicRelation_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicRelation_textnorm_duplicate,validate/1[demo.textnorm.TextCorpus],false,5,5,4,1,3,2,4,5,1,2,1,4,0,0,0,1,0,0,0,1,2,0,0,0,0,0,4,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderDataGenerator.java,demo.order.OrderDataGenerator,make/1[demo.order.OrderGenModel],false,10,2,2,1,1,2,2,7,1,2,1,2,0,0,1,0,0,0,0,2,2,1,1,0,0,0,7,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],false,18,3,8,2,6,4,10,14,1,6,1,10,1,1,2,0,0,0,0,3,6,0,3,0,0,0,17,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,"randBetween/3[java.util.Random,int,int]",false,35,0,1,1,0,3,1,5,3,0,3,1,0,0,0,1,0,0,0,1,0,3,1,0,0,0,5,10,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextInputMetamorphosisDuplicate.java,demo.textnorm.TextInputMetamorphosisDuplicate,duplicate/1[demo.textnorm.TextCorpus],false,11,1,4,2,2,1,2,5,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\ScaleDataGenerator.java,demo.convexhull.generator.ScaleDataGenerator,make/0,false,7,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\TranslateDataGenerator.java,demo.convexhull.generator.TranslateDataGenerator,make/0,false,7,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,false
